,classification
IMMUNOGLOBULIN DOMAIN,4
OXIDOREDUCTASE/ OXIDOREDUCTASE INHIBITOR,4
PLANT PROTEIN/HYDROLASE,4
OXIDOREDUCTASE/ISOMERASE,4
RETINOIC ACID-BINDING PROTEIN,4
LYSOSOMAL ASPARTIC PROTEASE,4
COMPLEX (TWO ELONGATION FACTORS),4
COMPLEX (SH3 DOMAIN/VIRAL ENHANCER),4
TRANSPORT PROTEIN/HYDROLASE ACTIVATOR,4
"SIGNALING PROTEIN, HYDROLASE ACTIVATOR",4
"TRANSCRIPTION REGULATOR, OXIDOREDUCTASE",4
TRANSPORT PROTEIN RECEPTOR,4
"structural genomics, unknown function, NUCLEOTIDE-BINDING PROTEIN",4
TRYPTOPHAN BIOSYNTHESIS,4
INORGANIC PYROPHOSPHATASE,4
hydrolase/signaling protein,4
INHIBITOR/OXIDOREDUCTASE,4
HYDROLASE (ALPHA-AMINOACYLPEPTIDE),4
Ligase/ligase activator,4
motor protein/Calcium binding protein,4
REPLICATION CHAPERONE,4
transferase/cell cycle,4
ELECTRON TRANSPORT(COPPER),4
Hydrolase/Cytokine,4
cNMP-BINDING PROTEIN,4
CONTRACTILE PROTEIN/peptide,4
COMPLEX (RALGDS/RAS),4
"LIGAND BINDING PROTEIN,MEMBRANE PROTEIN",4
METAL BINDING PROTEIN/PROTEIN TRANSPORT,4
OXYGEN BINDING PROTEIN,4
TETRAHYDROBIOPTERIN BIOSYNTHESIS,4
APOPTOSIS/TRANSPORT PROTEIN,4
PROTEIN BINDING/CALCIUM-BINDING PROTEIN,4
Transcription Factor,4
BILIN BINDING,4
PTERIDINE REDUCTASE,4
MOLYBDENUM-IRON PROTEIN,4
"MEMBRANE PROTEIN, RECEPTOR",4
"BIOSYNTHETIC PROTEIN,Structural protein",4
OXIDOREDUCTASE (PQQ(A)-CHOH(D)),4
METAL BINDING PROTEIN/IMMUNE SYSTEM,4
Transcription Factor/Transcription Regulator,4
DE NOVO PROTEIN/TRANSFERASE,4
REDUCTASE(ACTING ON CH2),4
hydrolase activator,4
"RNA BINDING PROTEIN, SPLICING",4
RNA BINDING DOMAIN,4
PEPTIDE RECOGNITION,4
HYDROLASE/CYTOKINE,4
POTASSIUM CHANNEL INHIBITOR,4
CYTOKINE/Transferase Receptor,4
"PROTEIN TRANSPORT,STRUCTURAL PROTEIN",4
TOXIN-BINDING PROTEIN/TOXIN,4
Viral protein/Transferase,4
calcium binding protein/antitumor protein,4
Cell Adhesion/Immune System,4
"SIGNALING PROTEIN INHIBITOR, TOXIN",4
Cell adhesion/Immune system,4
"ISOMERASE, CELL CYCLE",4
TRANSLATION/RIBOSOMAL PROTEIN,4
CIRCADIAN CLOCK PROTEIN/TRANSCRIPTION,4
TRANSPORT PROTEIN/CONTRACTILE PROTEIN,4
TRANAFERASE/TRANSFERASE INHIBITOR,4
IMMUNE SYSTEM/ISOMERASE,4
Ion Transport,4
TRANSFERASE/ANTITOXIN,4
COMPLEX (CYTOKINE RECEPTOR/PEPTIDE),4
"OXIDOREDUCTASE, ISOMERASE",4
MRNA-BINDING PROTEIN,4
SIGNAL TRANSDUCTION COMPLEX,4
DNA EXCISION REPAIR,4
T CELL RECEPTOR,4
METAL BINDING PROTEIN/METAL TRANSPORT,4
METHIONINE BIOSYNTHESIS,4
"SIGNALING PROTEIN, LYASE",4
TRIOSEPHOSPHATE ISOMERASE,4
"DNA BINDING PROTEIN,RNA BINDING PROTEIN",4
"VIRAL PROTEIN, RNA BINDING PROTEIN",4
"Cell Cycle, Signaling Protein",4
Signaling protein/protein binding,4
PROTEIN FIBRIL REGULATOR,4
heme binding protein,4
SIGNALING PROTEIN/Peptide,4
CYTOKINE receptor/CYTOKINE,4
STRUCTURAL REGULATION PROTEIN,4
Actin Binding,4
"BLOOD CLOTTING, HYDROLASE",4
"REPLICATION,TRANSCRIPTION,HYDROLASE",4
SIGNALING PROTEIN ACTIVATOR,4
"OXIDOREDUCTASE, METAL BINDING PROTEIN",4
IMMUNE SYSTEM/PROTEIN BINDING/TOXIN,4
"FLAVOPROTEIN, SIGNALING PROTEIN",4
METALLOCARBOXYPEPTIDASE,4
Apoptosis inhibitor/Apoptosis,4
CHEMOKINE (CHEMOATTRACTANT CYTOKINE),4
"SURFACE ACTIVE PROTEIN, TOXIN",4
"LIGAND BINDING PROTEIN, METAL TRANSPORT",4
Transferase/Immune System/Growth Factor,4
Transcription/SIGNALING PROTEIN,4
Biosynthetic Protein/Protein Binding,4
Mannose Binding protein,4
Transcription/protein binding/inhibitor,4
IMMUNE SYSTEM/CHOLINE BINDING PROTEIN,4
Protein binding/inhibitor,4
"Transferase, Lyase",4
CHAPERONE/ANTIBIOTIC,4
ANTI-ONCOGENE PROTEIN,4
DNA binding protein/de novo protein,4
TRANSPORT RECEPTOR,4
Hydrolase REGULATOR/VIRAL PROTEIN,4
"METAL TRANSPORT, HYDROLASE",4
TERNARY COMPLEX (ZYMOGEN),4
"apoptosis, HYDROLASE",4
ADOMET BINDING PROTEIN,4
"RNA BINDING PROTEIN, TRANSCRIPTION",4
"TRANSCRIPTION, VIRAL PROTEIN",4
Transcription/Nuclear Protein,4
VIRAL PROTEIN/NUCLEAR PROTEIN,4
INTEGRAL MEMBRANE PROTEIN PORIN,4
OXIDOREDUCTASE COMPLEX,4
CELLULAR LIPOPHILIC TRANSPORT PROTEIN,4
ASPARTIC PROTEASE ZYMOGEN,4
TOXIN (HEMOLYTIC POLYPEPTIDE),4
"ANTIBIOTIC, Antimicrobial Protein",4
"HYDROLASE,TRANSFERASE/PEPTIDE",4
HYDROLASE/TRANSPORT,4
HYDROLASE(SULFHYDRYL PROTEINASE),4
"FLAVOPROTEIN,SIGNALING PROTEIN",4
COMPLEX (MHC CLASS II/SUPERANTIGEN),4
INTRAMOLECULAR OXIDOREDUCTASE DEAMINASE,4
OXIDOREDUCTASE(OXYGEN AS ACCEPTOR),4
LYASE/LYASE,4
Biotin-Binding Protein,4
RECEPTOR/PEPTIDE,4
HYDROLASE (SULFHYDRYL PROTEINASE),4
LIGASE/NUCLEAR PROTEIN,4
"Apoptosis, Signaling protein",4
METAL BINDING PROTEIN/TRANSLATION,4
STRUCTRUAL PROTEIN/HYDROLASE,4
Nitrate-binding protein,4
membrane protein/antagonist,4
METAL BINDING PROTEIN/Hydrolase,4
"HYDROLASE, Viral protein",4
ISOMERASE/LYASE,4
SIGNALING PROTEIN/LIPOPROTEIN,4
OXIDOREDUCTASE (OXYGENASE),4
Transferase/Activator,4
virus/inhibitor,4
ligase/peptide,4
"HYDROLASE, TRANSFERASE/INHIBITOR",4
PEPTIDE/RNA BINDING PROTEIN,4
ALPHA-HELICAL BUNDLE,4
"HORMONE RECEPTOR, TRANSCRIPTION",4
Signaling Protein/Toxin,4
OXIDOREDUCTASE (CHOH(D) - NAD(P)),4
Actin Binding Protein,4
COMPLEX (LIGAND/ANNEXIN),4
HORMONE/GROWTH FACTOR/SIGNALING PROTEIN,4
"HYDROLASE, SUGAR BINDING PROTEIN",4
Transferase Inhibitor,4
ISOMERASE/CELL CYCLE,4
G PROTEIN,4
HUMANIZED ANTIBODY,4
AMINO ACID DEHYDROGENASE,4
"HYDROLASE (NUCLEIC ACID, RNA)",4
Structural Protein/Hydrolase,4
TRANSCRIPTION/ANTITUMOR PROTEIN,4
Hormone/growth Factor,4
PROTEIN TRANSPORT/CONTRACTILE PROTEIN,4
HYDROLASE/INHIBITOR/IMMUNE SYSTEM,4
PROTEIN TRANSPORT/PROTEIN TRANSPORT,4
hydrolase/inhibitor/immune system,4
"MOTOR PROTEIN,PROTEIN TRANSPORT",4
PROTEIN BINDING/inhibitor,4
BLOOD CLOTTING/ANTITUMOR PROTEIN,4
Lyase/Lyase INHIBITOR,4
COMPLEX (HORMONE TRANSPORT/HORMONE),4
SUGAR BINDING PROTEIN/RIBOSOME,4
CYTOKINE/METAL BINDING PROTEIN,4
"HYDROLASE, APOPTOSIS",4
BACTERIAL CELL DIVISION,4
"HYDROLASE, LIGASE/INHIBITOR",4
"Structural Genomics, protein binding",4
TRANSCRIPTION/protein binding/agonist,4
HYDROLASE(ALPHA-AMINOACYLPEPTIDE),4
Transcription/Protein Binding,4
TRANSCRIPTION ACTIVATOR/ANTIBIOTIC,4
"cell adhesion, structural protein",4
DECARBOXYLASE,4
HORMONE RECEPTOR/HYDROLASE,4
Oxidoreductase/Protein Binding,4
Signaling protein/Signaling protein,4
CELL ADHESION/TRANSCRIPTION,4
PHEROMONE BINDING PROTEIN,4
TRANSPORT PROTEIN/OXYGEN BINDING,4
PROTEIN BINDING/TOXIN INHIBITOR,4
CD1,4
Hydrolase/receptor/inhibitor,4
Hydrolase regulator,4
NAD-BINDING PROTEIN,4
MOTOR PROTEIN/METAL BINDING PROTEIN,4
"ANTIFUNGAL PROTEIN, PLANT PROTEIN",4
TRANSCRIPTION/Transcription regulator,4
HYDROLASE/inhibitor,4
"binding protein, viral protein",4
HYDROLASE/Hydrolase INHIBITOR,4
Oxidoreductase/antibiotic,4
"ANTIMICROBIAL PROTEIN, VIRAL PROTEIN",4
T LYMPHOCYTE ADHESION GLYCOPROTEIN,4
"OXIDOREDUCTASE,LYASE",4
Transferase Regulator,4
LIGASE/TRNASCRIPTION,4
HELIX CAPPING,4
PROTEIN BINDING/TOXIN,4
METAL BINDING PROTEIN/PEPTIDE,4
STEROID BINDING PROTEIN/PROTEIN BINDING,4
CLASS II ALDOLASE,4
Oxidoreductase/Immune system,4
"Unknown Function, Structural Genomics",4
Lyase/OXIDOREDUCTASE,4
ELECTRON TRANSPORT (COPPER),4
VIRAL PROTEIN/REPLICATION INHIBITOR,4
"serine protease, hydrolase",4
CELL CYCLE/MOTOR PROTEIN,4
MOTOR PROTEIN/APOPTOSIS,4
Viral Protein/membrane protein,4
"OXIDOREDUCTASE(ALDEHYDE(D),NAD+(A))",4
COMPLEX (IDIOTOPE-ANTIIDIOTOPE),4
Hydrolase/receptor,4
"OXIDOREDUCTASE,ELECTRON TRANSPORT",4
KETOSTEROID ISOMERASE,4
hydroperoxide reductase,4
"ISOMERASE, CELL INVASION",4
BIOTIN-Binding protein,4
METAL BINDING PROTEIN/OXIDOREDUCTASE,4
COMPLEX (IMMUNOGLOBULIN IGG1/IGG2A),4
"Lyase, isomerase",4
"NEUROPEPTIDE, IMMUNE SYSTEM",4
CEPHALOSPORINASE,4
APOPTOSIS/CELL CYCLE/GENE REGULATION,4
"ISOMERASE, protein binding",4
Viral Protein/antiviral Protein,4
CHAPERONE / DNA BINDING PROTEIN,4
Hormone/Transferase,4
CELL REGULATOR PROTEIN,4
Sigaling protein,4
CEREAL INHIBITOR,4
Transferase/cAMP binding Protein,4
"signaling protein, hydrolase/inhibitor",4
COMPLEX (TRNA SYNTHETASE/HIS-ADENYLATE),4
COMPLEX (TRNA SYNTHETASE/PEPTIDE),4
Hydrolase/Replication,4
CYTOKINE(CHEMOTACTIC),4
ADHESION,4
VIRUS/immune system,4
TRANSFERASE RECEPTOR/SIGNALLING PROTEIN,4
"H3K4me3 binding protein, Transferase",4
transcription/inhibitor,4
"CELL CYCLE, TRANSCRIPTION",4
CELL WALL BIOSYNTHESIS,4
GLUCURONIDASE,4
RNA,4
"viral protein, recombination",4
Hydrolase/transferase,4
TRANSCRIPTION/SIGNALING PROTEIN,4
HYBRID CLUSTER PROTEIN,4
METAL TRANSPORT/MEMBRANE PROTEIN,4
TRANSLATION/PROTEIN BINDING,4
HYDROLASE(GUANYLORIBONUCLEASE),4
SERINE CARBOXYPEPTIDASE,4
Splicing/Inhibitor,4
"RNA BINDING PROTEIN, TRANSPORT PROTEIN",4
COMPLEX (SERINE PROTEASE/PEPTIDE),4
ANTIFREEZE POLYPEPTIDE,4
TRANSFERASE/PROTEIN BINDING/INHIBITOR,4
Transferase/isomerase,4
RAN BINDING PROTEIN/PEPTIDE,4
SIGNALING PROTEIN/TRANSCRIPTION/INHIBITOR,4
CYTOKINE RECEPTOR,4
"LYASE, OXIDOREDUCTASE/TRANSFERASE",4
Oxidoreductase/Electron Transport,4
"cell cycle,translation",4
Hydrolase/Hydrolase Receptor,4
hydrolase/dna,4
OXIDOREDUCTASE/CHAPERONE,4
TRANSFERASE / SIGNALING PROTEIN,4
HYDROLASE/Immune system,4
ACID ANHYDRIDE HYDROLASE,4
"VIRAL PROTEIN, HYDROLASE/INHIBITOR",4
"TRANSPORT PROTEIN, SIGNALING PROTEIN",4
ANTIBIOTIC/IMMUNE SYSTEM,4
TRANSCRIPTION REGULATOR/PROTEIN BINDING,4
G-PROTEIN,4
VIRULENCE FACTOR,4
Viral protein/isomerase,4
"TRANSFERASE, SUGAR BINDING PROTEIN/SUBSTRATE",4
GROWTH FACTOR/GROWTH FACTOR INHIBITOR,4
CYTOKINE/RECEPTOR,4
MHC II,4
HYDROLASE/ISOMERASE,4
METAL BINDING PROTEIN/TRANSCRIPTION,4
OXYGEN BINDING/TRANSPORT PROTEIN,4
Transport Protein/Hydrolase Activator,4
Peptide Nucleic acid,4
protein binding/hydrolase,4
COMPLEMENT REGULATOR,4
ADP-RIBOSYLATION,4
toxin/toxin receptor,4
HYDROLASE (GLUCANASE),4
TRANSFERASE/CHEMOTAXIS,4
HYDORLASE/HYDORLASE INHIBITOR,4
"TRANSCRIPTION, PROTEIN BINDING",4
INTEGRAL MEMBRANE PROTEIN,4
THIOLASE,4
COMPLEX (SIGNAL TRANSDUCTION/REGULATOR),4
Viral protein/receptor/Immune system,4
PLP-binding protein,4
hydrolase/hydrolase regulator,4
ISOMERASE/STRUCTURAL PROTEIN,4
"replication, transferase",4
PROTO-ONCOGENE,4
LIPID MOBILIZATION FACTOR,4
KINASE/KINASE ACTIVATOR,4
IGG BINDING DOMAIN,4
TRANSCRIPTION/TBP-ASSOCIATED FACTORS,4
"ISOMERASE, OXIDOREDUCTASE",4
"Plant Protein, Transferase",4
LIGASE/TRANSCRIPTION,4
"SUGAR BINDING, METAL BINDING PROTEIN",4
TOXIN/CELL CYCLE,4
CYTOKINE/TRANSFERASE RECEPTOR,4
PROTEIN TRANSPORT/TOXIN,4
signaling protein/splicing,4
HORMONE receptor,4
transcription/transferase,4
ALCOHOL FERMENTATION,4
transcription activator,4
TRANSPORT PROTEIN/UNKNOWN FUNCTION,4
PROTEIN BINDING/TRANSCRIPTION,4
CELL RECEPTOR RECOGNITION,4
TRANSCRIPTION/RECEPTOR/AGONIST,4
CHLOROPLASTIC MALATE DEHYDROGENASE,4
"LAYSE, TOXIN",4
PROTEIN AND METAL BINDING PROTEIN,4
"SUGAR BINDING PROTEIN, HORMONE RECEPTOR",4
HORMONE(MUSCLE RELAXANT),4
MAGNETITE-BINDING PROTEIN,4
"LIGAND BINDING PROTEIN, BLOOD CLOTTING",4
INSULIN,4
RIBOSOMAL PROTEIN/NUCLEAR PROTEIN,4
HYDROLASE/KINASE,4
TRANSCRIPTION/INIHIBITOR,4
TRANSFERASE/PROTEIN  BINDING,4
ONCOPROTEIN/INHIBITOR,4
"PROTEIN TRANSPORT, CHROMOSOMAL PROTEIN",4
GUANINE NUCLEOTIDE EXCHANGE FACTOR,4
Hydrolase/Hydrolase INHIBITOR,4
PHOSPHATE-BINDING PROTEIN,4
CHAPERONE/ANTIMICROBIAL PROTEIN,4
SIGNALING PROTEIN/protein binding,4
CALCIUM/PHOSPHOLIPID BINDING PROTEIN,4
"LIGASE, PROTEIN FIBRIL",4
TOXIN/HYDROLASE,4
GLUTATHIONE TRANSFERASE,4
CELL ADHESION/VIRAL PROTEIN,4
HEME PROTEIN,4
"oxygen transport, oxygen binding",4
Signaling protein/Hydrolase,4
"BLOOD CLOTTING,HYDROLASE",4
MHC CLASS I COMPLEX,4
ISOMERASE/SIGNALING PROTEIN,4
Heparin-binding protein,4
MEMBRANE PROTEIN/CALCIUM BINDING PROTEIN,4
viral protein/antiviral protein,4
CYTOSKETAL PROTEIN,4
"VIRAL PROTEIN, PROTEIN BINDING",4
hydrolase inhibitor/peptide,4
NERVE GROWTH FACTOR/TRKA COMPLEX,4
TRANSCRIPTION TERMINATION,4
ZINC FINGER,4
"OXYGEN BINDING, OXYGEN TRANSPORT",4
SIGNALING PROTEIN/peptide,4
TRANSFERASE/BIOSYNTHETIC PROTEIN,4
COMPLEX (INHIBITOR/NUCLEASE),4
VIRAL PROTEIN / INHIBITOR,4
OXYGEN CARRIER,4
POSTSEGREGATIONAL KILLING SYSTEM,4
SIGNALING PROTEIN/De Novo Protein,4
"LIGASE,BIOSYNTHETIC PROTEIN",4
SIGNALING PROTEIN/SIGNALING PROTEIN REGULATOR,4
HYDROLASE / HYDROLASE INHIBITOR,4
HYSROLASE/HYDROLASE INHIBITOR,4
SIGNALING PROTEIN ACTIVATOR/SIGNALING PROTEIN,4
GLYCOSYLATION,4
Ligase/Inhibitor,4
oxidoreductase/chaperone,4
Heme-binding protein,4
Ligase/signaling Protein,4
"TRANSFERASE, SUGAR BINDING PROTEIN",4
TRANSFERASE ACTIVATOR,4
CHROMATIN REGULATOR,4
COMPLEX (TOXIN/RECEPTOR),4
COMPLEX (PROTO-ONCOGENE/EARLY PROTEIN),4
transferase/Cell cycle,4
PEPTIDE/HYDROLASE,4
"HYDROLASE, METAL TRANSPORT",4
Formylglycinamide Synthetase,4
Hydrolase/Transferase,4
SIGNALING PROTEIN/ENDOCYTOSIS,4
COMPLEMENT,4
FLAVIN,4
VIRUS/VIRAL PROTEIN/ANTIBIOTIC,4
"OXIDOREDUCTASE (NADP+(A),FERREDOXIN(A))",4
COMPLEX (OXIDOREDUCTASE/ANTIBODY),4
HORMONE/PROTEIN BINDING,4
HYDROLASE/ANTIBIOTIC/INHIBITOR,4
IMMUNE SYSTEM/VIRUS/VIRAL PROTEIN,4
Hormone/Growth factor receptor,4
ADHESION PROTEIN,4
VIRAL ADHESION PROTEIN,4
HYDROLYASE,4
peptidoglycan binding protein,4
IMMUNE SYSTEM/STRUCTURAL PROTEIN,4
HYDROLASE/Hormone Receptor,4
"IMMUNE SYSTEM, NUCLEAR PROTEIN, RNA BINDING PROTEIN, HYDROLASE",4
"IMMUNE SYSTEM, NUCLEAR PROTEIN, RNA BINDING PROTEIN",4
S-ADENOSYLMETHIONINE DECARBOXYLASE,4
COLLAGEN-BINDING,4
transferase/isomerase,4
ZINC-BINDING PROTEIN,4
LIGASE/ACTIVATOR,4
Hyrdolase/Hydrolase inhibitor,4
COMPLEX (PROTEIN KINASE/CYCLIN),4
ELECTRON TRANSPORT-OXIDOREDUCTASE,4
MEMBRANE PROTEIN/ADP-BINDING PROTEIN,4
CONTRACTILE PROTEIN/TRANSFERASE,4
AMINO ACID AMMONIA-LYASE,4
"viral protein, sugar binding protein",4
"Antibody,Hydrolase",4
COMPLEX (GROWTH FACTOR/TRANSFERASE),4
"FLAVOPROTEIN, OXIDOREDUCTASE",4
GENE-REGULATING PROTEIN,4
TRANSCRIPTION RECEPTOR/COACTIVATOR,4
HISTONE-BINDING PROTEIN,4
"TRANSPORT (THYROXINE,RETINOL) IN SERUM",4
"Protein Binding, Ligase/Hydrolase",4
"PROTEIN BINDING, Ligase",4
CELL ADHESION/ANTITUMOR PROTEIN,4
"STRUCTURAL PROTEIN,DNA BINDING PROTEIN",4
COAGULATION INHIBITOR,4
Oxidoreductase/Oxidoreductase Substrate,4
SWEET TASTING PROTEIN,4
TRANSPORT (THYROXINE),4
LYASE(ALDEHYDE),4
DNA BINDING PROTEIN/TOXIN,4
"Receptor, Toxin",4
MYRISTYLATION,4
Ligase/RNA Binding Protein,4
TRANSFERASE/ONCOPROTEIN,4
"STRUCTURAL PROTEIN, CELL ADHESION",4
ELECTRON TRANSPORT(FLAVOCYTOCHROME),4
"CELL CYCLE, HORMONE/GROWTH FACTOR",4
Antibiotic/Antibiotic Inhibitor,4
FAMILY 1 BETA-GLUCOSIDASE,4
CHLOROPHYLL BIOSYNTHESIS,4
toxin/inhibitor,4
DNA-BINDING (VIRAL),4
LIGASE/PROTEIN TRANSPORT,4
"CALMODULIN-BINDING, MEMBRANE PROTEIN",4
Chemokine binding protein/Chemokine,4
COMPLEX (TRANSFERASE/CYCLIN),4
"PROTEIN BINDING, ligase",4
SYNTHETASE,4
ELECTRON TRANSPORT(IRON-SULFUR),4
HYDROLASE/Antibiotics,4
"STRUCTURAL GENOMICS, LYASE",4
HYDROLASE INHIBITION,4
"Flurorescent Protein, Metal Binding Protein",4
"Protein Binding, Ligase",4
"CELL CYCLE, TRANSFERASE",4
"Antibody, Hydrolase",4
RNA methyltransferase,4
GENE REGULATION/TRANSCRIPTION,4
Cell Adhesion/Hydrolase,4
penicillin binding protein,4
LUMINESCENT PROTEIN/IMMUNE SYSTEM,4
Hormone Receptor/peptide,4
PROTEIN TRANSPORT/Ligase,4
IMMUNITY PROTEIN,4
"isomerase, transferase",4
LACTOYLGLUTATHIONE LYASE,4
"HORMONE RECEPTOR, HYDROLASE REGULATOR",4
Resiniferatoxin binding protein,4
"HYDROLASE, LIGASE",4
VIRUS/VIRAL PROTEIN/CYTOKINE,4
NUCLEAR IMPORT,4
"TRANSPORT, LIGAND BINDING PROTEIN",4
BINDING PROTEIN(FATTY ACID),4
BETA-CLAMP,4
"Oxidoreductase,Transferase",4
DNA binding protein/inhibitor,4
"PROTEIN FIBRIL, IMMUNE SYSTEM",4
VIRUS/INHIBITOR,4
"ANTIVIRAL PROTEIN, HYDROLASE",4
CELL CYCLE/CALCIUM-BINDING PROTEIN,4
"protein transport, sugar binding protein",4
CYCLIN DEPENDENT KINASE,4
GENE REGULATION/PROTEIN BINDING,4
HYDROLASE-HYDROLASE INHIBITOR,4
"PROTEIN TRANSPORT, RNA BINDING PROTEIN",4
FERTILIZATION PROTEIN,3
MITOCHONDRIAL MATRIX PROTEIN,3
"TRANSFERASE,SIGNALING PROTEIN",3
FATTY ACID-BINDING PROTEIN,3
Transferase/Transferase Substrate,3
COMPLEX (ANTIBODY/BINDING PROTEIN),3
"STRUCTURAL GENOMICS, OXIDOREDUCTASE",3
TRANSIT PEPTIDE,3
PHOSPHATASE,3
"FLUORESCENT PROTEIN, Transport Protein",3
COMPLEX (IMMUNOGLOBULIN/LIPOPROTEIN),3
HYDROLASE COFACTOR,3
TRANSCRIPTION INHIBITOR,3
Transferase inhibitor,3
TRANSCRIPTIONAL ACTIVATOR,3
"CHAPERONE, METAL BINDING PROTEIN",3
protein binding/inhibitor,3
ACETYLATION,3
TRANSPORT PROTEIN/RIBOSOMAL PROTEIN,3
COMPLEX(LECTIN/TRANSFERRIN),3
Structural protein/Hydrolase,3
COMPLEX (ANTIBODY-ANTIGEN),3
COMPLEX(SERINE PROTEINASE/INHIBITOR),3
EPIMERASE/REDUCTASE,3
lyase/inhibitor,3
Viral protein receptor,3
TRANSCRIPTION/ANTIBIOTIC,3
Ca-BINDING PROTEIN,3
"hydrolase, membrane protein",3
"HYDROLASE, ANTITUMOR PROTEIN",3
IMMUNE SYSTEM/metal TRANSPORT,3
TELOMERE BINDING,3
BLOOD CLOTTING/TOXIN,3
GENE REGULATION/LIGASE,3
"TRANSFERASE, VIRAL PROTEIN",3
"STRUCTURAL GENOMICS, Unknown function",3
"blood cloting, hydrolase/inhibitor",3
IMMUNE SYSTEM/IMMUNOSUPPRESSANT,3
MEMBRANE PROTEIN/VIRAL PROTEIN,3
OXIDOREDUCTASE (H2O2 ACCEPTOR),3
COMPLEX (HISTOCOMPATIBILITY/ANTIGEN),3
"cytokine, isomerase",3
"cytokine, ISOMERASE",3
immune system/peptide,3
BLOOD CLOTTING INHIBITOR,3
"TRANSFERASE, CELL ADHESION",3
PEPTIDE BINDING PROTEIN/PEPTIDE,3
IMMUNE SYSTEM/Antimicrobial Protein,3
LYASE (CARBON-OXYGEN),3
RECOMBINATION/REPLICATION/LIGASE,3
IMMUNE SYSTEM/PEPTIDE BINDING PROTEIN,3
ROTAMASE,3
Apoptosis/Inhibitor,3
METAL BINDING,3
"TRANSFERASE, CHAPERONE/GENE REGULATION",3
"chaperone,hydrolase",3
protein binding/Hydrolase,3
MALTODEXTRIN BINDING PROTEIN/DE NOVO PROTEIN,3
FLUORESCENT PROTEIN/PROTEIN BINDING,3
phosphate-binding protein,3
HORMONE/GROWTH FACTOR/HORMONE RECEPTOR,3
Structural genomics/Unknown function,3
Membrane Protein/Hydrolase,3
"protein transport, toxin",3
"TRANSFERASE (CARBAMOYL-P, ASPARTATE)",3
"HYDROLASE, HYDROLASE INHIBITOR",3
"CELL ADHESION, CELL INVASION",3
FIBRIL,3
COMPLEX (TRANSFERASE/CYCLIN/INHIBITOR),3
SORTING PROTEIN,3
Hormone binding protein,3
"hydrolase, carbohydrate-binding domain",3
HLA B51,3
HYDROLASE/ANTITUMOR PROTEIN,3
POSTSYNAPTIC NEUROTOXIN,3
"HYDROLASE, TRANSCRIPTION REGULATION",3
Transferase/immune system,3
transcriptional regulator,3
HYDROLASE/Lipid Transport,3
"SUGAR BINDING PROTEIN, HYDROLASE",3
VIRAL PEPTIDE,3
"DE NOVO PROTEIN, IMMUNE SYSTEM",3
CHITIN BINDING PROTEIN,3
OXIDOREDUCTASE(OXYGEN(A)),3
MEMBRANE PROTEIN/CELL ADHESION,3
PROTEINASE INHIBITOR(CHYMOTRYPSIN),3
STEROID BINDING PROTEIN,3
COMPLEX (WILLEBRAND/IMMUNOGLOBULIN),3
"Transcription, Transcription regulation",3
CA-BINDING PROTEIN/HYDROLASE,3
"TRANSFERASE, PROTEIN BINDING",3
"transferase, oxidoreductase",3
BINDING PROTEIN/HYDROLASE,3
Cell cycle/Transport Protein,3
HYDOLASE INHIBITOR,3
"ALLERGEN, OXIDOREDUCTASE",3
Transcription repressor,3
OXYGEN TRANSPORT PROTEIN,3
"ANTIBIOTIC, ANTIMICROBIAL PROTEIN",3
SIGNALING PROTEIN / CYTOKINE,3
Immune system/viral protein receptor,3
OXIDOREDUCTASES(ACTING ON CH-NH2 DONOR),3
PROTEIN-BINDING PROTEIN,3
"TRANSPORT PROTEIN, oxidoreductase",3
TRANSCRIPTION/CHAPERONE,3
DNA binding protein/Transcription,3
PLASMINOGEN ACTIVATION,3
HISTOCOMPATIBILITY ANTIGEN I-AK,3
COMPLEX (CYTOKINE/RECEPTOR),3
oxygen storage/transport,3
"SUGAR BINDING PROTEIN, Plant protein",3
"SUGAR BINDING PROTEIN, Plant Protein",3
IMMUNE SYSTEM/HORMONE,3
CHEMOATTRACTANT,3
Nucleotide-binding Protein,3
"gene regulation, transferase",3
"protein binding, methyl-lysine-binding protein",3
COMPLEX (TRANSCRIPTION REG/PEPTIDE),3
IMMUNE SYSTEM/CARBOHYDRATE BINDING PROTEIN,3
COMPLEX (HSP24/HSP70),3
Transcription activator,3
Steroid-Binding Protein,3
CELL ADHESION/MEMBRANE PROTEIN,3
"FLUORESCENT PROTEIN, ELECTRON TRANSPORT",3
Biotin Binding Protein,3
GTP-BINDING,3
GALACTOSE-BINDING PROTEIN,3
HYDROLASE/CARBOHYDRATE,3
TRANSFERASE/LIGASE/PROTEIN BINDING,3
COMPLEX (RECEPTOR/IMMUNOGLOBULIN),3
immune system/hydrolase,3
"isomerase, lyase",3
IMMUNE SYSTEM/TRANSCRIPTION INHIBITOR,3
glycerol-binding protein,3
"IMMUNE SYSTEM, VIRAL PROTEIN",3
MACRO_H2A DOMAIN/HYDROLASE,3
"CHAPERONE, STRUCTURAL, MEMBRANE PROTEIN",3
HYDROLASEE/HYDROLASE INHIBITOR,3
HYDROLASE/CARBOHYDRATE BINDING,3
COMPLEX (ANTIBODY/PV-1 FRAGMENT),3
PRENYLTRANSFERASE,3
REACTION CENTRE,3
BLOOD CLOTTING INHIBITOR/IMMUNE SYSTEM,3
AMINO ACID TRANSPORT,3
COMPLEX (MHC PROTEINTIGEN),3
